job_id,pair_id,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
07-bright-sample-000-seed-107,07,bright,0,107,3.0,25,4.5,a bright glittering harp glissando,/outputs/bright-dark-v1/07/bright/07-bright-sample-000-seed-107.wav,44100,1.706,declare-lab/TangoFlux,ok,
07-dark-sample-000-seed-107,07,dark,0,107,3.0,25,4.5,a dark resonant harp glissando,/outputs/bright-dark-v1/07/dark/07-dark-sample-000-seed-107.wav,44100,1.539,declare-lab/TangoFlux,ok,
08-bright-sample-000-seed-108,08,bright,0,108,3.0,25,4.5,a bright cheerful music box melody,/outputs/bright-dark-v1/08/bright/08-bright-sample-000-seed-108.wav,44100,1.471,declare-lab/TangoFlux,ok,
08-dark-sample-000-seed-108,08,dark,0,108,3.0,25,4.5,a dark eerie music box melody,/outputs/bright-dark-v1/08/dark/08-dark-sample-000-seed-108.wav,44100,1.446,declare-lab/TangoFlux,ok,
09-bright-sample-000-seed-109,09,bright,0,109,3.0,25,4.5,a bright punchy electric guitar riff,/outputs/bright-dark-v1/09/bright/09-bright-sample-000-seed-109.wav,44100,1.573,declare-lab/TangoFlux,ok,
09-dark-sample-000-seed-109,09,dark,0,109,3.0,25,4.5,a dark heavy electric guitar riff,/outputs/bright-dark-v1/09/dark/09-dark-sample-000-seed-109.wav,44100,1.605,declare-lab/TangoFlux,ok,
10-bright-sample-000-seed-110,10,bright,0,110,3.0,25,4.5,a bright energetic synth lead,/outputs/bright-dark-v1/10/bright/10-bright-sample-000-seed-110.wav,44100,1.467,declare-lab/TangoFlux,ok,
10-dark-sample-000-seed-110,10,dark,0,110,3.0,25,4.5,a dark gloomy synth lead,/outputs/bright-dark-v1/10/dark/10-dark-sample-000-seed-110.wav,44100,1.639,declare-lab/TangoFlux,ok,
11-bright-sample-000-seed-111,11,bright,0,111,3.0,25,4.5,a bright clear trumpet fanfare,/outputs/bright-dark-v1/11/bright/11-bright-sample-000-seed-111.wav,44100,1.495,declare-lab/TangoFlux,ok,
11-dark-sample-000-seed-111,11,dark,0,111,3.0,25,4.5,a dark muffled trumpet fanfare,/outputs/bright-dark-v1/11/dark/11-dark-sample-000-seed-111.wav,44100,1.526,declare-lab/TangoFlux,ok,
12-bright-sample-000-seed-112,12,bright,0,112,3.0,25,4.5,a bright lively marimba pattern,/outputs/bright-dark-v1/12/bright/12-bright-sample-000-seed-112.wav,44100,1.414,declare-lab/TangoFlux,ok,
12-dark-sample-000-seed-112,12,dark,0,112,3.0,25,4.5,a dark slow marimba pattern,/outputs/bright-dark-v1/12/dark/12-dark-sample-000-seed-112.wav,44100,1.564,declare-lab/TangoFlux,ok,
13-bright-sample-000-seed-113,13,bright,0,113,3.0,25,4.5,a bright sharp xylophone melody,/outputs/bright-dark-v1/13/bright/13-bright-sample-000-seed-113.wav,44100,1.541,declare-lab/TangoFlux,ok,
13-dark-sample-000-seed-113,13,dark,0,113,3.0,25,4.5,a dark hollow xylophone melody,/outputs/bright-dark-v1/13/dark/13-dark-sample-000-seed-113.wav,44100,1.639,declare-lab/TangoFlux,ok,
14-bright-sample-000-seed-114,14,bright,0,114,3.0,25,4.5,a bright twinkling celesta passage,/outputs/bright-dark-v1/14/bright/14-bright-sample-000-seed-114.wav,44100,1.573,declare-lab/TangoFlux,ok,
14-dark-sample-000-seed-114,14,dark,0,114,3.0,25,4.5,a dark heavy celesta passage,/outputs/bright-dark-v1/14/dark/14-dark-sample-000-seed-114.wav,44100,1.42,declare-lab/TangoFlux,ok,
15-bright-sample-000-seed-115,15,bright,0,115,3.0,25,4.5,a bright open church organ chord,/outputs/bright-dark-v1/15/bright/15-bright-sample-000-seed-115.wav,44100,1.464,declare-lab/TangoFlux,ok,
15-dark-sample-000-seed-115,15,dark,0,115,3.0,25,4.5,a dark thunderous church organ chord,/outputs/bright-dark-v1/15/dark/15-dark-sample-000-seed-115.wav,44100,1.421,declare-lab/TangoFlux,ok,
16-bright-sample-000-seed-116,16,bright,0,116,3.0,25,4.5,a bright lively folk fiddle tune,/outputs/bright-dark-v1/16/bright/16-bright-sample-000-seed-116.wav,44100,1.677,declare-lab/TangoFlux,ok,
16-dark-sample-000-seed-116,16,dark,0,116,3.0,25,4.5,a dark slow folk fiddle tune,/outputs/bright-dark-v1/16/dark/16-dark-sample-000-seed-116.wav,44100,1.487,declare-lab/TangoFlux,ok,
17-bright-sample-000-seed-117,17,bright,0,117,3.0,25,4.5,a bright pop synth arpeggio,/outputs/bright-dark-v1/17/bright/17-bright-sample-000-seed-117.wav,44100,1.413,declare-lab/TangoFlux,ok,
17-dark-sample-000-seed-117,17,dark,0,117,3.0,25,4.5,a dark cinematic synth arpeggio,/outputs/bright-dark-v1/17/dark/17-dark-sample-000-seed-117.wav,44100,1.599,declare-lab/TangoFlux,ok,
18-bright-sample-000-seed-118,18,bright,0,118,3.0,25,4.5,a bright crisp snare drum roll,/outputs/bright-dark-v1/18/bright/18-bright-sample-000-seed-118.wav,44100,1.364,declare-lab/TangoFlux,ok,
18-dark-sample-000-seed-118,18,dark,0,118,3.0,25,4.5,a dark muffled snare drum roll,/outputs/bright-dark-v1/18/dark/18-dark-sample-000-seed-118.wav,44100,1.419,declare-lab/TangoFlux,ok,
19-bright-sample-000-seed-119,19,bright,0,119,3.0,25,4.5,a bright clean jazz saxophone phrase,/outputs/bright-dark-v1/19/bright/19-bright-sample-000-seed-119.wav,44100,1.523,declare-lab/TangoFlux,ok,
19-dark-sample-000-seed-119,19,dark,0,119,3.0,25,4.5,a dark smoky jazz saxophone phrase,/outputs/bright-dark-v1/19/dark/19-dark-sample-000-seed-119.wav,44100,1.854,declare-lab/TangoFlux,ok,
20-bright-sample-000-seed-120,20,bright,0,120,3.0,25,4.5,a bright airy choir voicing,/outputs/bright-dark-v1/20/bright/20-bright-sample-000-seed-120.wav,44100,1.437,declare-lab/TangoFlux,ok,
20-dark-sample-000-seed-120,20,dark,0,120,3.0,25,4.5,a dark heavy choir voicing,/outputs/bright-dark-v1/20/dark/20-dark-sample-000-seed-120.wav,44100,1.448,declare-lab/TangoFlux,ok,
